 13 TEFF'S       12 LOG G'S       8 FE/H'S        4 INDICES  (11 Aug 2003)
 1.441 1.340 1.237 1.125 1.024 0.941 0.851 0.760 0.678 0.598 0.515 0.432 0.365
 1.434 1.281 1.192 1.089 0.993 0.911 0.828 0.745 0.667 0.591 0.513 0.437 0.372
 1.440 1.241 1.154 1.059 0.967 0.885 0.806 0.729 0.655 0.582 0.512 0.440 0.379
 1.411 1.235 1.121 1.033 0.943 0.864 0.787 0.710 0.642 0.574 0.510 0.442 0.384
 1.392 1.258 1.095 1.011 0.922 0.844 0.769 0.695 0.627 0.565 0.506 0.444 0.388
 1.378 1.256 1.102 0.990 0.901 0.823 0.750 0.675 0.612 0.557 0.502 0.444 0.391
 1.362 1.239 1.121 0.984 0.882 0.805 0.728 0.655 0.598 0.547 0.496 0.443 0.393
 1.334 1.232 1.127 1.000 0.876 0.785 0.707 0.635 0.581 0.535 0.487 0.441 0.394
 1.283 1.232 1.125 1.019 0.894 0.770 0.690 0.619 0.566 0.520 0.476 0.437 0.393
 [Fe/H] = -3.00: Color Index = m1   
 0.394 0.323 0.264 0.207 0.157 0.122 0.098 0.083 0.077 0.072 0.063 0.055 0.044
 0.440 0.370 0.310 0.249 0.190 0.140 0.104 0.081 0.068 0.060 0.059 0.054 0.055
 0.480 0.410 0.350 0.289 0.214 0.156 0.107 0.076 0.060 0.053 0.052 0.048 0.057
 0.508 0.438 0.378 0.303 0.235 0.165 0.105 0.071 0.054 0.042 0.044 0.043 0.054
 0.515 0.445 0.385 0.314 0.241 0.167 0.101 0.067 0.048 0.034 0.033 0.038 0.048
 0.518 0.448 0.388 0.313 0.242 0.166 0.097 0.063 0.044 0.031 0.026 0.033 0.042
 0.512 0.442 0.382 0.304 0.230 0.158 0.095 0.061 0.042 0.030 0.024 0.029 0.037
 0.508 0.438 0.378 0.303 0.225 0.152 0.093 0.060 0.042 0.030 0.024 0.027 0.033
 0.506 0.436 0.376 0.302 0.221 0.149 0.093 0.060 0.042 0.032 0.025 0.027 0.032
 0.517 0.447 0.387 0.308 0.225 0.152 0.095 0.063 0.043 0.034 0.028 0.027 0.032
 0.530 0.460 0.400 0.320 0.238 0.160 0.101 0.067 0.046 0.036 0.032 0.030 0.034
 0.540 0.470 0.410 0.334 0.250 0.175 0.113 0.073 0.050 0.039 0.034 0.033 0.036
 [Fe/H] = -2.50: Color Index = m1   
 0.472 0.402 0.342 0.262 0.207 0.148 0.117 0.094 0.081 0.079 0.070 0.062 0.055
 0.524 0.454 0.394 0.299 0.234 0.167 0.124 0.091 0.074 0.069 0.067 0.061 0.060
 0.562 0.492 0.432 0.335 0.258 0.187 0.128 0.088 0.068 0.059 0.060 0.057 0.060
 0.580 0.510 0.450 0.367 0.280 0.203 0.130 0.086 0.062 0.050 0.052 0.052 0.057
 0.575 0.505 0.445 0.378 0.293 0.208 0.132 0.087 0.058 0.042 0.043 0.046 0.052
 0.566 0.496 0.436 0.378 0.301 0.205 0.136 0.089 0.056 0.041 0.039 0.041 0.047
 0.562 0.492 0.432 0.371 0.295 0.204 0.139 0.092 0.058 0.043 0.036 0.038 0.043
 0.581 0.511 0.451 0.361 0.288 0.203 0.144 0.096 0.062 0.046 0.036 0.036 0.040
 0.610 0.540 0.480 0.368 0.289 0.209 0.150 0.101 0.067 0.049 0.038 0.036 0.038
 0.641 0.571 0.511 0.390 0.301 0.224 0.158 0.107 0.073 0.054 0.042 0.038 0.038
 0.672 0.602 0.542 0.425 0.321 0.242 0.171 0.115 0.079 0.060 0.047 0.041 0.041
 0.700 0.630 0.570 0.460 0.350 0.261 0.183 0.125 0.087 0.068 0.052 0.045 0.045
 [Fe/H] = -2.00: Color Index = m1   
 0.734 0.664 0.604 0.482 0.379 0.261 0.182 0.126 0.092 0.084 0.074 0.061 0.050
 0.738 0.668 0.608 0.512 0.403 0.268 0.178 0.121 0.084 0.074 0.074 0.063 0.062
 0.733 0.663 0.603 0.520 0.420 0.274 0.175 0.117 0.077 0.066 0.069 0.063 0.068
 0.712 0.642 0.582 0.510 0.420 0.273 0.175 0.116 0.074 0.058 0.061 0.060 0.068
 0.679 0.609 0.549 0.492 0.405 0.271 0.176 0.118 0.074 0.057 0.051 0.057 0.064
 0.659 0.589 0.529 0.471 0.389 0.270 0.178 0.123 0.079 0.057 0.047 0.051 0.058
 0.655 0.585 0.525 0.466 0.378 0.272 0.187 0.130 0.087 0.060 0.047 0.046 0.053
 0.660 0.590 0.530 0.469 0.379 0.281 0.200 0.141 0.098 0.069 0.049 0.045 0.051
 0.679 0.609 0.549 0.487 0.391 0.293 0.218 0.158 0.112 0.079 0.055 0.048 0.050
 0.708 0.638 0.578 0.507 0.410 0.314 0.242 0.178 0.128 0.090 0.064 0.053 0.051
 0.753 0.683 0.623 0.524 0.441 0.348 0.270 0.202 0.148 0.104 0.075 0.060 0.055
 0.771 0.701 0.641 0.519 0.462 0.387 0.301 0.225 0.165 0.117 0.084 0.067 0.059
 [Fe/H] = -1.50: Color Index = m1   
 0.839 0.769 0.709 0.660 0.580 0.422 0.304 0.209 0.164 0.134 0.111 0.082 0.060
 0.843 0.773 0.713 0.673 0.586 0.427 0.300 0.205 0.157 0.125 0.103 0.084 0.073
 0.843 0.773 0.713 0.680 0.580 0.427 0.298 0.203 0.150 0.118 0.097 0.082 0.079
 0.830 0.760 0.700 0.669 0.565 0.423 0.297 0.203 0.144 0.111 0.093 0.080 0.082
 0.814 0.744 0.684 0.649 0.545 0.420 0.297 0.206 0.143 0.107 0.090 0.080 0.082
 0.789 0.719 0.659 0.609 0.523 0.418 0.298 0.212 0.145 0.107 0.087 0.079 0.079
 0.754 0.684 0.624 0.575 0.507 0.419 0.306 0.220 0.152 0.111 0.088 0.078 0.075
 0.736 0.666 0.606 0.545 0.496 0.424 0.321 0.231 0.165 0.117 0.091 0.076 0.073
 0.735 0.665 0.605 0.534 0.491 0.435 0.341 0.250 0.180 0.129 0.097 0.080 0.074
 0.757 0.687 0.627 0.546 0.497 0.449 0.363 0.272 0.202 0.148 0.108 0.087 0.078
 0.794 0.724 0.664 0.576 0.511 0.471 0.392 0.303 0.230 0.170 0.128 0.098 0.083
 0.836 0.766 0.706 0.610 0.538 0.496 0.423 0.333 0.257 0.196 0.148 0.114 0.089
 [Fe/H] = -1.00: Color Index = m1   
 0.995 0.925 0.865 0.817 0.699 0.553 0.430 0.315 0.239 0.188 0.147 0.116 0.084
 0.986 0.916 0.856 0.812 0.698 0.553 0.428 0.311 0.229 0.178 0.138 0.114 0.098
 0.971 0.901 0.841 0.800 0.695 0.547 0.421 0.309 0.224 0.171 0.132 0.113 0.106
 0.953 0.883 0.823 0.781 0.682 0.540 0.412 0.305 0.220 0.168 0.129 0.111 0.107
 0.926 0.856 0.796 0.757 0.663 0.530 0.407 0.303 0.220 0.166 0.127 0.109 0.105
 0.901 0.831 0.771 0.727 0.639 0.520 0.404 0.304 0.222 0.165 0.127 0.109 0.102
 0.862 0.792 0.732 0.692 0.615 0.512 0.408 0.309 0.227 0.167 0.129 0.110 0.100
 0.833 0.763 0.703 0.652 0.593 0.516 0.417 0.320 0.236 0.175 0.133 0.112 0.100
 0.804 0.734 0.674 0.628 0.580 0.530 0.436 0.337 0.253 0.190 0.142 0.117 0.102
 0.799 0.729 0.669 0.620 0.588 0.553 0.460 0.359 0.275 0.207 0.158 0.127 0.108
 0.820 0.750 0.690 0.627 0.598 0.572 0.488 0.385 0.299 0.227 0.176 0.140 0.117
 0.848 0.778 0.718 0.647 0.618 0.598 0.515 0.418 0.326 0.250 0.193 0.155 0.127
 [Fe/H] = -0.50: Color Index = m1   
 0.734 0.870 1.002 1.039 0.955 0.779 0.624 0.450 0.340 0.269 0.207 0.166 0.120
 0.753 0.866 0.981 1.034 0.941 0.767 0.604 0.440 0.329 0.252 0.195 0.158 0.134
 0.741 0.849 0.948 0.991 0.910 0.744 0.579 0.426 0.317 0.239 0.184 0.152 0.141
 0.683 0.814 0.904 0.936 0.870 0.710 0.559 0.416 0.307 0.231 0.175 0.146 0.141
 0.641 0.781 0.857 0.864 0.814 0.678 0.542 0.410 0.301 0.227 0.173 0.143 0.138
 0.613 0.710 0.787 0.796 0.756 0.651 0.531 0.405 0.301 0.226 0.173 0.143 0.135
 0.582 0.654 0.696 0.732 0.705 0.634 0.527 0.405 0.305 0.230 0.175 0.144 0.133
 0.565 0.630 0.608 0.669 0.678 0.632 0.533 0.410 0.312 0.238 0.180 0.147 0.132
 0.577 0.648 0.553 0.609 0.660 0.650 0.546 0.421 0.323 0.249 0.188 0.152 0.133
 0.626 0.690 0.525 0.578 0.652 0.671 0.571 0.441 0.340 0.263 0.200 0.160 0.137
 0.744 0.768 0.507 0.566 0.649 0.698 0.601 0.466 0.360 0.282 0.219 0.176 0.147
 0.888 0.856 0.512 0.572 0.654 0.733 0.637 0.497 0.391 0.308 0.243 0.196 0.163
 [Fe/H] =  0.00: Color Index = m1   
 0.496 0.571 0.669 0.807 0.923 0.891 0.740 0.566 0.447 0.352 0.274 0.200 0.145
 0.486 0.541 0.643 0.789 0.898 0.866 0.722 0.546 0.429 0.338 0.267 0.210 0.167
 0.476 0.513 0.618 0.765 0.864 0.840 0.694 0.526 0.407 0.321 0.255 0.212 0.179
 0.481 0.489 0.592 0.736 0.826 0.809 0.667 0.509 0.388 0.303 0.242 0.204 0.183
 0.494 0.472 0.571 0.703 0.787 0.771 0.643 0.498 0.374 0.290 0.231 0.194 0.177
 0.507 0.460 0.540 0.666 0.742 0.739 0.626 0.492 0.367 0.280 0.222 0.185 0.169
 0.529 0.457 0.498 0.619 0.684 0.715 0.616 0.491 0.368 0.278 0.218 0.181 0.164
 0.542 0.468 0.449 0.564 0.640 0.706 0.624 0.495 0.374 0.282 0.219 0.182 0.163
 0.561 0.477 0.407 0.517 0.626 0.712 0.641 0.505 0.387 0.294 0.228 0.189 0.168
 0.580 0.488 0.383 0.488 0.625 0.736 0.669 0.523 0.406 0.313 0.243 0.199 0.174
 0.599 0.493 0.364 0.475 0.634 0.760 0.697 0.550 0.431 0.338 0.265 0.214 0.184
 0.602 0.501 0.356 0.469 0.651 0.788 0.730 0.585 0.462 0.366 0.289 0.234 0.199
 [Fe/H] =  0.50: Color Index = m1   
 1.586 1.480 1.362 1.235 1.082 0.924 0.799 0.686 0.563 0.440 0.333 0.240 0.180
 1.498 1.409 1.297 1.177 1.053 0.908 0.775 0.650 0.529 0.414 0.328 0.254 0.201
 1.411 1.328 1.226 1.111 1.009 0.883 0.753 0.622 0.496 0.385 0.313 0.258 0.217
 1.302 1.224 1.135 1.039 0.960 0.855 0.734 0.602 0.470 0.361 0.295 0.251 0.220
 1.179 1.087 1.024 0.956 0.911 0.825 0.721 0.590 0.452 0.341 0.280 0.241 0.221
 0.982 0.913 0.908 0.861 0.867 0.802 0.708 0.581 0.443 0.328 0.268 0.231 0.214
 0.816 0.732 0.760 0.758 0.800 0.786 0.701 0.578 0.438 0.322 0.259 0.223 0.206
 0.715 0.583 0.612 0.671 0.740 0.775 0.696 0.582 0.440 0.324 0.255 0.217 0.199
 0.659 0.495 0.519 0.599 0.690 0.771 0.697 0.592 0.452 0.337 0.259 0.216 0.195
 0.635 0.466 0.466 0.548 0.670 0.775 0.711 0.604 0.471 0.360 0.274 0.224 0.199
 0.638 0.492 0.449 0.530 0.661 0.790 0.734 0.627 0.499 0.389 0.301 0.243 0.213
 0.653 0.552 0.452 0.530 0.667 0.815 0.766 0.661 0.534 0.424 0.336 0.272 0.235
 [Fe/H] = -3.00: Color Index = c1   
 0.567 0.610 0.678 0.730 1.006 0.979 0.950 0.896 1.024 1.144 1.327 1.488 1.750
 0.502 0.542 0.641 0.733 0.862 0.849 0.833 0.797 0.877 1.016 1.173 1.329 1.498
 0.430 0.497 0.591 0.708 0.729 0.729 0.704 0.678 0.741 0.870 1.001 1.161 1.323
 0.322 0.453 0.533 0.672 0.574 0.576 0.587 0.558 0.612 0.718 0.839 0.987 1.142
 0.158 0.370 0.482 0.579 0.421 0.430 0.456 0.447 0.490 0.573 0.687 0.820 0.960
-0.111 0.245 0.416 0.493 0.292 0.315 0.330 0.341 0.371 0.438 0.538 0.660 0.788
-0.557 0.032 0.319 0.426 0.204 0.222 0.241 0.257 0.283 0.324 0.391 0.500 0.621
-1.140-0.313 0.174 0.358 0.139 0.162 0.178 0.196 0.216 0.243 0.289 0.360 0.460
-1.755-0.777-0.053 0.273 0.096 0.117 0.132 0.148 0.167 0.188 0.219 0.266 0.334
-2.301-1.281-0.361 0.152 0.069 0.090 0.099 0.109 0.123 0.140 0.160 0.187 0.240
-2.719-1.730-0.722-0.023 0.036 0.059 0.072 0.082 0.093 0.105 0.117 0.137 0.167
-3.015-2.087-1.081-0.237 0.001 0.030 0.043 0.053 0.063 0.076 0.089 0.106 0.122
 [Fe/H] = -2.50: Color Index = c1   
 0.522 0.534 0.629 0.912 1.016 0.989 0.960 0.900 1.024 1.153 1.334 1.498 1.730
 0.442 0.459 0.573 0.799 0.872 0.859 0.843 0.801 0.882 1.027 1.182 1.339 1.510
 0.369 0.403 0.506 0.683 0.739 0.729 0.714 0.684 0.749 0.882 1.010 1.172 1.333
 0.277 0.361 0.437 0.549 0.584 0.586 0.597 0.562 0.622 0.732 0.849 0.998 1.153
 0.143 0.298 0.382 0.403 0.431 0.440 0.466 0.451 0.499 0.587 0.700 0.832 0.971
-0.081 0.189 0.323 0.285 0.302 0.325 0.340 0.357 0.382 0.453 0.554 0.673 0.799
-0.437 0.009 0.248 0.190 0.214 0.232 0.251 0.268 0.294 0.336 0.407 0.515 0.633
-0.927-0.281 0.125 0.127 0.150 0.172 0.188 0.210 0.228 0.258 0.302 0.373 0.473
-1.489-0.673-0.070 0.084 0.106 0.127 0.142 0.158 0.177 0.199 0.229 0.276 0.344
-2.019-1.130-0.340 0.049 0.072 0.100 0.108 0.119 0.133 0.150 0.170 0.203 0.250
-2.398-1.579-0.678 0.002 0.033 0.068 0.081 0.091 0.101 0.111 0.125 0.145 0.176
-2.621-1.959-1.030-0.058-0.002 0.039 0.052 0.062 0.071 0.082 0.095 0.114 0.131
 [Fe/H] = -2.00: Color Index = c1   
 0.516 0.577 0.878 0.920 0.864 0.849 0.865 0.910 1.014 1.154 1.335 1.500 1.670
 0.437 0.405 0.719 0.816 0.766 0.753 0.768 0.794 0.880 1.029 1.181 1.345 1.520
 0.392 0.352 0.563 0.698 0.667 0.654 0.666 0.682 0.752 0.887 1.015 1.181 1.342
 0.309 0.304 0.425 0.575 0.550 0.541 0.554 0.571 0.626 0.740 0.857 1.009 1.164
 0.188 0.279 0.331 0.417 0.420 0.427 0.441 0.453 0.503 0.598 0.710 0.843 0.982
 0.014 0.193 0.229 0.303 0.324 0.334 0.345 0.360 0.389 0.464 0.569 0.687 0.812
-0.241 0.049 0.147 0.203 0.257 0.258 0.274 0.290 0.300 0.349 0.425 0.533 0.648
-0.574-0.168 0.028 0.116 0.207 0.204 0.214 0.232 0.242 0.268 0.315 0.390 0.490
-0.956-0.448-0.129 0.052 0.155 0.153 0.169 0.176 0.192 0.210 0.240 0.289 0.358
-1.354-0.775-0.339-0.031 0.108 0.113 0.133 0.144 0.151 0.165 0.187 0.214 0.262
-1.721-1.134-0.557-0.120 0.066 0.092 0.106 0.114 0.120 0.129 0.143 0.160 0.188
-2.033-1.465-0.795-0.167 0.036 0.083 0.090 0.098 0.106 0.112 0.120 0.135 0.146
 [Fe/H] = -1.50: Color Index = c1   
 0.238 0.269 0.367 0.449 0.533 0.621 0.727 0.883 1.004 1.162 1.330 1.516 1.727
 0.215 0.247 0.322 0.391 0.467 0.548 0.641 0.778 0.879 1.032 1.184 1.357 1.543
 0.187 0.218 0.271 0.332 0.397 0.470 0.554 0.657 0.752 0.891 1.030 1.201 1.364
 0.161 0.182 0.224 0.274 0.334 0.394 0.460 0.542 0.627 0.743 0.873 1.030 1.187
 0.131 0.144 0.182 0.226 0.277 0.325 0.374 0.436 0.507 0.606 0.723 0.863 1.007
 0.098 0.112 0.146 0.184 0.227 0.262 0.300 0.344 0.401 0.481 0.586 0.706 0.834
 0.083 0.092 0.121 0.151 0.184 0.215 0.242 0.273 0.311 0.365 0.448 0.558 0.672
 0.029 0.072 0.098 0.121 0.144 0.174 0.200 0.222 0.247 0.280 0.334 0.413 0.516
-0.027 0.055 0.084 0.100 0.115 0.144 0.166 0.182 0.200 0.224 0.256 0.306 0.380
-0.145 0.034 0.070 0.083 0.094 0.118 0.140 0.154 0.169 0.184 0.201 0.230 0.279
-0.285-0.005 0.047 0.058 0.070 0.096 0.118 0.132 0.141 0.151 0.162 0.178 0.204
-0.391-0.052 0.006 0.027 0.043 0.077 0.100 0.117 0.125 0.132 0.139 0.147 0.155
 [Fe/H] = -1.00: Color Index = c1   
 0.410 0.374 0.419 0.472 0.535 0.616 0.728 0.862 1.014 1.153 1.326 1.517 1.721
 0.432 0.328 0.365 0.414 0.474 0.544 0.644 0.750 0.895 1.027 1.187 1.366 1.554
 0.435 0.276 0.312 0.360 0.412 0.473 0.556 0.649 0.760 0.883 1.039 1.204 1.394
 0.422 0.224 0.258 0.303 0.353 0.407 0.467 0.542 0.640 0.740 0.886 1.037 1.199
 0.414 0.183 0.215 0.247 0.292 0.342 0.388 0.447 0.530 0.610 0.737 0.878 1.024
 0.383 0.142 0.176 0.200 0.236 0.276 0.318 0.366 0.424 0.495 0.603 0.722 0.842
 0.307 0.113 0.138 0.164 0.192 0.223 0.260 0.299 0.342 0.393 0.479 0.581 0.695
 0.237 0.095 0.116 0.134 0.159 0.185 0.210 0.241 0.275 0.308 0.368 0.451 0.549
 0.195 0.082 0.096 0.109 0.127 0.150 0.173 0.201 0.223 0.246 0.284 0.341 0.416
 0.138 0.070 0.079 0.090 0.103 0.126 0.148 0.174 0.190 0.208 0.228 0.261 0.315
