# V_std   s_V   (b-y)_s  s_by 
  17.978   .074    .305   .084
  17.990   .079    .827   .102
  15.402   .031    .564   .043
  14.366   .023    .371   .033
  15.176   .026    .462   .037
  13.952   .023    .388   .033
  14.919   .026    .463   .037
  18.136   .083    .619   .099
  15.561   .029    .523   .041
  14.946   .025    .470   .037
  15.107   .026    .470   .038
  13.618   .022    .394   .033
  15.033   .027    .488   .039
  15.024   .026    .462   .037
  14.767   .027    .496   .039
  14.663   .024    .445   .035
  17.802   .058    .523   .076
  14.837   .026    .470   .037
  12.779   .026    .523   .039
  14.679   .026    .501   .038
  14.868   .026    .475   .037
  12.881   .029    .593   .042
  14.701   .026    .481   .038
  15.081   .027    .477   .038
  12.027   .023    .406   .033
  15.361   .026    .390   .036
  14.455   .026    .453   .037
  18.152   .089    .830   .119
  14.728   .027    .429   .039
  12.692   .024    .347   .036
  18.326   .085    .404   .096
  14.598   .025    .430   .036
  13.989   .024    .365   .034
  16.271   .038    .483   .048
  18.165   .069    .248   .079
  17.956   .065    .480   .078
  17.884   .065    .574   .080
  12.915   .024    .332   .035
  18.229   .081    .256   .090
  15.520   .031    .496   .043
  15.374   .029    .387   .039
  15.549   .030    .496   .043
  15.717   .032    .521   .045
  12.938   .029    .333   .039
  15.648   .030    .388   .040
  13.428   .035    .355   .045
  13.655   .038    .291   .047
  16.303   .041    .333   .051
  16.695   .059    .451   .084
  13.752   .023    .411   .033
  14.042   .023    .409   .034
  14.174   .023    .391   .033
  13.294   .022    .381   .032
  14.212   .024    .415   .034
  10.445   .032    .667   .046
  14.242   .024    .419   .035
  14.103   .023    .418   .034
  14.004   .023    .384   .033
  13.923   .023    .383   .033
  13.977   .023    .391   .033
  17.642   .063    .902   .088
  12.875   .022    .387   .033
  12.867   .022    .367   .033
  11.148   .021    .294   .031
  14.215   .024    .411   .035
  14.917   .025    .451   .036
  14.847   .025    .455   .036
  13.943   .023    .397   .033
  14.090   .024    .441   .035
  13.900   .023    .402   .034
  13.591   .026    .402   .035
  13.359   .022    .377   .033
  12.784   .023    .307   .033
  14.883   .027    .451   .038
  15.071   .032    .479   .043
  14.414   .032    .616   .045
  14.332   .042    .430   .062
  15.323   .029    .386   .039
  14.740   .029    .477   .040
  13.131   .027    .362   .037
  18.064   .084    .975   .113
  16.708   .045    .440   .058
  12.800   .023    .399   .034
  18.232   .076    .459   .095
  15.855   .032    .525   .044
  13.355   .023    .394   .034
  13.989   .025    .409   .036
  12.257   .024    .431   .035
  15.128   .029    .489   .042
  13.659   .024    .409   .034
  14.093   .025    .383   .035
  14.832   .029    .417   .039
  14.568   .029    .383   .039
  15.537   .036    .402   .047
  14.807   .036    .454   .047
  14.654   .037    .359   .047
  13.725   .043    .321   .051
  15.100   .045    .329   .053
  15.340   .049    .312   .058
  10.539   .025    .332   .037
   9.626   .040    .834   .059
  13.707   .026    .406   .036
  14.523   .030    .469   .041
  15.336   .052    .382   .061
   9.613   .038    .793   .056
  10.244   .037    .769   .054
  10.197   .028    .005   .042
  12.527   .044    .404   .058
  14.985   .047    .364   .055
  15.739   .046    .406   .056
  14.565   .044    .424   .069
